Name,nation,Active year,Provenvictim,notes
Sharon Ginny,"Germany occupied by the Allied forces
Federal Republic of Germany",1960 to 1964,3,"An antisocial serial killer who murdered a romantic partner with a pistol. Since she escaped from prison in 1969, she is currently at large."
Ted Kaczynski,U.K,1978 to 1996,3,"As a domestic terrorist and serial bomber known as ""Unabomber"", Kaczynski was responsible for more than two dozen university bombings and one airline bombing from 1978 to 1996. Kaczynski believes that technological progress will The philosophy of destroying mankind proves this. Arrested in 1996 because his brother David admitted that Unabomber's unidentified manifesto was Kaczynski's work: Industrial Society and Its Future. Currently imprisoned in ADX Florence."
Robert Ben Rhodes,Netherlands,1989 to 1990,3,Convicted of murdering three women in Texas and Illinois from 1989 to 1990. Sentenced to life imprisonment.
Peter Tobin,Japan,1991 to 2006,3,"As we all know, Scottish rapists and serial killers killed at least three young women. He was also a suspect in the murder of Biblical John committed in Glasgow in the late 1960s."
Pedro Padilla Flores,America,1986 to 1987,3,Killed three women in 1986; fled to the United States but was re-captured and deported back to Mexico; the main suspect in the Ciudad Ju¨¢rez murder.
Billy Graz,U.K,1986 to 1987,3,Known as "Billy the Butcher". The murderer was convicted of raping and murdering three Native American prostitutes in Minneapolis in 1986 and 1987.
Bertha Gifford,Germany,1909 to 1928,3,He was acquitted of three arsenic poisonings and 14 other murders (mainly children) in Missouri.
Bernhard Prigan,Brazil,1947 to 1952,3,Killed women near the highway; confessed to a total of 16 murders.
Stephen Griffith,Colombia,2009 to 2010,3,"Three prostitutes are known to have been killed, but it is claimed to have killed 14 to defeat ""Yorkshire Ripper"" Peter Sutcliffe. He called himself a ""crossbow cannibal"" because he killed the victims with a hammer and crossbow and then ate some of them."
Koos Hertogs,Swaziland,1979 to 1980,3,"The Dutch serial killer was convicted of kidnapping, torturing, raping and killing three girls. It is suspected that three to nine girls and young women were killed in the 1970s."
Charlie Brandt,U.K,1971 to 2004,4,"After killing his wife and niece, he hanged himself. From the year Brandt moved to the state in 1973, the latter was also beheaded and viscerated in a manner very similar to the 26 unsolved murders of women in Florida. Brandt was later believed to be the culprit in one of the murders because he was very similar to a suspect who was captured by traffic cameras near the place where the body was found. Due to lack of evidence, he could not be formally linked to other crimes. Previously, when he was 13 years old in 1971, he had attempted to murder his family with a gun for no reason. His mother (pregnant) died in this attack, but his father survived and his sister escaped."
Robert Black,America,1981 to 1986,4,"Convicted of kidnapping, rape and murder of four girls between the ages of 5 and 11. Suspected of other early childhood murders in the UK and other European countries. He died a few weeks before he was charged with the fifth murder of a child."
Max Guffler,U.K,1946 to 1958,4,"Four women were poisoned and drowned, but a total of 18 people were suspected of killing."
Ernesto Picchioni,U.K,1949 to 1950,4,Killed people close to his home; died of cardiac arrest in 1967.
White country,America,1993 to 2010,4,"Pedophiles who rape and kill young boys; initially sentenced to life imprisonment, later changed to death."
Igor Cerna,America,1985 to 1986,4,"Known as the ""evil spirit of Kukj?rvi""; Ukrainian soldiers who raped and killed women in Kamenka, and subsequently sold their stolen items; Executed in 1987."
Ricky Lee Green,America,1985 to 1986,4,The bisexual wanderer who killed the people he met in the bar; his wife assisted in two murders; executed in 1997.
Robert Hicks Murray,U.K,1912 to 1913,4,"The bigamy who murdered his wife and three children in the murder suicide; after his death, it was revealed that he also killed the ex-wife."
Darren border,Mexico,1999 to 2000,4,"Murdered Radio Shack manager and flower shop in their respective business premises. He then murdered two acquaintances, then took the other two hostages and committed suicide. More murders are suspected in the Pacific Northwest."
Stephen Porter,America,2014 to 2015,4,"Potter, nicknamed ""The Grindr Killer,"" got to know his victims through an online gay social network. He used gamma-hydroxybutyrate (GHB), a date rape drug, added it to drinks given to victims, raped them, and murdered four of them in his apartment in Barking, east London."
Jack Bird,America,1930 to 1947,13,He was hanged in 1949. He was hanged in 1949.
Belle Ganis,America,1900 to 1908,13,"A Norwegian-born murderer was committed by his seekers and relatives in a murder in Indiana. Follow-up actions to more than 40 incidents. Probably she died in the disaster of no home in 1908; her child killed the child by himself before the fire due to Chlorine poisoning, and was the head of the recently discovered woman, Biganes. The final fate is unknown."
